"","ind1","ind2","ind3","ind4","ind5","ind6","ind7","ind8","ind9","ind10","ind11","ind12","ind13","ind14","ind15","ind16","ind17","ind18","ind19","ind20","ind21","ind22","ind23","ind24","ind25"
"74",1,NA,2,3,4,5,6,7,8,8,3,8,2,1,5,1,3,2,2,1,5,5,3,3,3
"75",1,NA,2,3,4,5,6,7,8,7,3,8,2,1,5,1,3,2,2,1,5,5,3,3,3
"76",1,NA,2,3,4,5,6,7,8,7,3,8,2,1,5,1,3,2,2,1,5,5,3,3,3
"77",1,NA,2,3,4,5,6,7,8,2,3,8,2,1,5,1,3,2,2,1,5,5,3,3,3
"78",1,NA,2,3,4,5,6,7,8,6,3,8,2,1,5,1,3,2,2,1,5,5,3,3,3
"79",1,NA,2,3,4,5,6,7,8,6,3,8,1,1,5,1,3,2,2,1,5,5,3,3,3
"80",1,NA,2,3,4,5,6,7,8,2,3,8,1,1,5,1,3,2,2,1,5,5,3,3,3
"81",1,NA,2,3,4,5,6,7,8,8,3,8,1,1,5,1,3,2,2,1,5,5,3,3,3
"82",1,NA,2,3,4,5,6,7,8,7,3,8,1,1,5,1,3,2,2,1,5,5,3,3,3
"83",1,NA,2,3,4,5,6,7,8,7,3,8,1,1,5,1,3,2,2,1,5,5,3,3,3
"84",1,NA,2,3,4,5,6,7,8,3,3,8,1,1,5,1,3,2,2,1,5,5,3,3,3
"85",1,NA,2,3,4,5,6,7,8,4,3,8,1,1,5,1,3,2,2,1,5,5,3,3,3
"86",1,NA,2,3,4,5,6,7,8,1,3,8,1,1,5,1,3,2,2,1,5,5,3,3,3
"87",1,NA,2,3,4,5,6,7,8,1,3,8,1,1,5,1,3,2,2,1,5,5,3,3,3
"88",1,NA,2,3,4,5,6,7,8,5,3,8,1,1,5,1,3,2,2,1,5,5,3,3,3
"89",1,NA,2,3,4,5,6,7,8,1,3,8,1,1,5,1,3,2,3,1,5,5,3,3,3
"90",1,NA,2,3,4,5,6,7,8,8,3,8,1,1,4,1,3,2,3,1,4,4,3,3,3
"91",1,NA,2,3,4,5,6,7,8,6,3,8,1,1,5,1,3,2,3,1,5,5,3,3,3
"92",1,NA,2,3,4,5,6,7,8,1,3,8,1,1,5,1,3,2,3,1,5,5,3,3,3
"93",1,NA,2,3,4,5,6,7,8,4,3,8,1,1,5,1,3,2,3,1,5,5,3,3,3
"94",1,NA,2,3,4,5,6,7,8,2,3,8,1,1,5,1,3,2,3,1,5,5,3,3,3
"95",1,NA,2,3,4,5,6,7,8,1,3,8,1,1,5,1,3,2,3,1,5,5,3,3,3
